Dim 1,Dim 2,Dim 3,SiteCode,SiteName,IslandName,ReserveStatus,SurveyYear
-0.10228892699594785,-0.3254464986239188,0.20425034466372236,WL,Wyckoff Ledge,San Miguel Island,Outside,2005
-0.08113378128198123,-0.35877628735178396,0.20523190736407787,WL,Wyckoff Ledge,San Miguel Island,Outside,2006
-0.08342692398384628,-0.3458536024531495,0.18877290435748076,WL,Wyckoff Ledge,San Miguel Island,Outside,2007
-0.07154877733312119,-0.3358621370634867,0.18879044812824064,WL,Wyckoff Ledge,San Miguel Island,Outside,2008
-0.0653328365373597,-0.3529870432141658,0.20559549954939002,WL,Wyckoff Ledge,San Miguel Island,Outside,2009
-0.06901782850473148,-0.3434256620546292,0.19854917498522456,WL,Wyckoff Ledge,San Miguel Island,Outside,2010
-0.07728375223742409,-0.3677868704964225,0.1865542531394289,WL,Wyckoff Ledge,San Miguel Island,Outside,2011
-0.058011551610529746,-0.3151497209480825,0.1621118409991049,WL,Wyckoff Ledge,San Miguel Island,Outside,2012
-0.036726045255332754,-0.343437511809525,0.1208211556484209,WL,Wyckoff Ledge,San Miguel Island,Outside,2013
-0.06448665627995995,-0.3178528306638047,0.1531932156274456,WL,Wyckoff Ledge,San Miguel Island,Outside,2014
-0.05437716783977261,-0.304138656506691,0.17372486699292372,WL,Wyckoff Ledge,San Miguel Island,Outside,2015
-0.08111700079528476,-0.310742703573441,0.166236770632733,WL,Wyckoff Ledge,San Miguel Island,Outside,2016
-0.032225129592505376,-0.29824843699587544,0.15528184680757082,WL,Wyckoff Ledge,San Miguel Island,Outside,2017
-0.04546688855685372,-0.26765992785395865,0.12121374339441474,WL,Wyckoff Ledge,San Miguel Island,Outside,2018
-0.1650501162554113,-0.16896829050423362,0.11726217635973163,WL,Wyckoff Ledge,San Miguel Island,Outside,2019
0.00716575955919291,-0.19859488774772308,-0.10766416725689805,HR,Hare Rock,San Miguel Island,Inside,2005
0.04216998911699571,-0.18792580311374205,-0.1275901127156526,HR,Hare Rock,San Miguel Island,Inside,2006
-0.019251524345134944,-0.24516546318108967,0.015519653827098667,HR,Hare Rock,San Miguel Island,Inside,2007
0.014312749309991709,-0.17461248978195157,-0.16231513257407543,HR,Hare Rock,San Miguel Island,Inside,2008
-0.022641822358177164,-0.1676466584719052,-0.12287676606857713,HR,Hare Rock,San Miguel Island,Inside,2009
-0.01600727099496624,-0.15572621939328596,-0.131031882205108,HR,Hare Rock,San Miguel Island,Inside,2010
-0.04995230171548195,-0.19693084821956874,-0.039719559228088196,HR,Hare Rock,San Miguel Island,Inside,2011
0.03723606577893612,-0.16601264392556916,-0.16626559888124942,HR,Hare Rock,San Miguel Island,Inside,2012
0.025524801924366326,-0.17122395108514302,-0.15808152788235882,HR,Hare Rock,San Miguel Island,Inside,2013
-0.023609824063293216,-0.1654540686786749,-0.09841507718457185,HR,Hare Rock,San Miguel Island,Inside,2014
0.0021564640825105716,-0.13296628446811143,-0.15928768542475535,HR,Hare Rock,San Miguel Island,Inside,2015
-0.09796512919092025,-0.08308786514948951,-0.042130962155256226,HR,Hare Rock,San Miguel Island,Inside,2016
-0.09563874535963789,-0.10194520973700415,-0.012884337523930938,HR,Hare Rock,San Miguel Island,Inside,2017
-0.1379535637049782,-0.06817915492740674,0.01074797511307856,HR,Hare Rock,San Miguel Island,Inside,2018
-0.13624851795688656,-0.057335637279931295,-0.0036609174963661015,HR,Hare Rock,San Miguel Island,Inside,2019
0.02287182764508919,-0.17571608083018453,-0.0319543633758648,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2005
9.882096201093875e-4,-0.1371163076438114,-0.0253047730686581,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2006
0.1175660994756364,-0.15060762624820156,-0.0985509184618087,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2007
0.003905491191015856,-0.1716222147107269,-9.762178877844336e-4,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2008
0.02550990319859035,-0.1946328536098046,-0.04266018728712567,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2009
-0.0020713780335803278,-0.15073354686267806,-0.0603265913410888,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2010
0.035325398346831766,-0.1588465977252332,-0.06462337861049708,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2011
-0.010190032368409058,-0.1402106602540835,-0.06588048019752912,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2012
0.02496111073679268,-0.14555232214039088,-0.0722284125974925,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2013
0.05943702906423577,-0.10180990389337734,-0.06106746502930102,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2014
0.007710788305715754,-0.049402277877784874,-0.044192054496324594,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2015
-0.11273130909363804,0.00942451532186166,-0.059194881077142214,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2016
-0.22658039542821223,0.1136390620305626,-0.003198286026018602,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2017
-0.13123331231864635,0.060009778631546155,-0.048389988477775855,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2018
-0.14998581868817143,0.0577352049269184,-0.02865193031263375,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2019
-0.05855073795061736,-0.2748272766151642,0.10440702651704482,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,2005
-0.029508069078723102,-0.2302694090358531,0.057232185571821734,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,2006
