Dim 1,Dim 2,Dim 3,SiteCode,SiteName,IslandName,ReserveStatus,SurveyYear
-0.393280981493248,-0.0473858641820687,-0.01971882088015413,WL,Wyckoff Ledge,San Miguel Island,Outside,1982
-0.3510135129459011,-0.023029512885979812,-0.1340876093701342,WL,Wyckoff Ledge,San Miguel Island,Outside,1983
-0.36819317583484357,-0.037424817549418544,-0.16747458559673126,WL,Wyckoff Ledge,San Miguel Island,Outside,1984
-0.394970247242542,-0.034171677571260925,-0.15030921731649635,WL,Wyckoff Ledge,San Miguel Island,Outside,1985
-0.38133416247633467,-0.04459085533674008,-0.17828287553783875,WL,Wyckoff Ledge,San Miguel Island,Outside,1986
-0.406769158414202,-0.03602023107119438,-0.17219982908649503,WL,Wyckoff Ledge,San Miguel Island,Outside,1987
-0.35794723301948855,-0.036030315206966465,-0.22111399833819792,WL,Wyckoff Ledge,San Miguel Island,Outside,1988
-0.33185520051561845,-0.042146770364083486,-0.2496547821482426,WL,Wyckoff Ledge,San Miguel Island,Outside,1989
-0.3628535003890126,0.010479524676544416,-0.1285778469626639,WL,Wyckoff Ledge,San Miguel Island,Outside,1990
-0.3230189342240969,-0.04219228157673412,-0.24803719238697408,WL,Wyckoff Ledge,San Miguel Island,Outside,1991
-0.3041804509240319,-0.03835037802018227,-0.2641834242937288,WL,Wyckoff Ledge,San Miguel Island,Outside,1992
-0.2899039281269154,-0.03686741734742502,-0.2510373495147001,WL,Wyckoff Ledge,San Miguel Island,Outside,1993
-0.3062223343140957,0.01095214172345705,-0.18795097452499945,WL,Wyckoff Ledge,San Miguel Island,Outside,1994
-0.2619924611875576,0.012261606078786088,-0.1726536629425583,WL,Wyckoff Ledge,San Miguel Island,Outside,1995
-0.2783993955742791,-0.04689833716298631,-0.2557514067718245,WL,Wyckoff Ledge,San Miguel Island,Outside,1996
-0.25164156023101064,0.0056470318470868775,-0.21929443104105664,WL,Wyckoff Ledge,San Miguel Island,Outside,1997
-0.26911290729410325,-0.04297953929643121,-0.25505106459366894,WL,Wyckoff Ledge,San Miguel Island,Outside,1998
-0.2514299889954914,-0.03531064854505626,-0.28530443842529396,WL,Wyckoff Ledge,San Miguel Island,Outside,1999
-0.27650585269819206,0.021325045510188823,-0.15308371677504679,WL,Wyckoff Ledge,San Miguel Island,Outside,2000
-0.3018911150024898,0.03167642006205913,-0.1444715728301609,WL,Wyckoff Ledge,San Miguel Island,Outside,2001
-0.1598373814725236,-0.028376972503925426,-0.27354200137098295,WL,Wyckoff Ledge,San Miguel Island,Outside,2002
0.1948716482065972,0.06491320946910403,-0.33345054855227313,WL,Wyckoff Ledge,San Miguel Island,Outside,2003
0.2019523839431573,0.15592756942978264,-0.33736568523421634,WL,Wyckoff Ledge,San Miguel Island,Outside,2004
0.2238173159201638,0.13761020270575688,-0.3654805087518087,WL,Wyckoff Ledge,San Miguel Island,Outside,2005
0.2240574974597931,0.14448659790851356,-0.3919160016584653,WL,Wyckoff Ledge,San Miguel Island,Outside,2006
0.22794478574777968,0.14996690293483952,-0.3646271222164295,WL,Wyckoff Ledge,San Miguel Island,Outside,2007
0.17857579752643243,0.11737694337932908,-0.34340844981367136,WL,Wyckoff Ledge,San Miguel Island,Outside,2008
0.22212671643658352,0.11826379318200352,-0.3738624451963895,WL,Wyckoff Ledge,San Miguel Island,Outside,2009
0.21806033910249895,0.13353216986135805,-0.3713869896075848,WL,Wyckoff Ledge,San Miguel Island,Outside,2010
0.2163370095373483,0.14342137458715096,-0.37661033763829344,WL,Wyckoff Ledge,San Miguel Island,Outside,2011
0.22570261218184398,0.1279156504520549,-0.36758886703487315,WL,Wyckoff Ledge,San Miguel Island,Outside,2012
0.23847842456477591,0.16335801889387164,-0.3764108181503827,WL,Wyckoff Ledge,San Miguel Island,Outside,2013
0.21801653586202313,0.16262829661903677,-0.3016859322573807,WL,Wyckoff Ledge,San Miguel Island,Outside,2014
0.23325121345862243,0.14797961711331942,-0.3250628595222019,WL,Wyckoff Ledge,San Miguel Island,Outside,2015
0.21764964777494356,0.15945348508879023,-0.28290609511679904,WL,Wyckoff Ledge,San Miguel Island,Outside,2016
0.21910433479235059,0.11269833315121111,-0.33451766198741534,WL,Wyckoff Ledge,San Miguel Island,Outside,2017
0.19612541037304204,0.12237501090328423,-0.23268545862025874,WL,Wyckoff Ledge,San Miguel Island,Outside,2018
0.18478732445607463,0.1892825020848973,-0.10435346668376512,WL,Wyckoff Ledge,San Miguel Island,Outside,2019
-0.37490922458450626,-0.04934907913356953,-0.011857014162482086,HR,Hare Rock,San Miguel Island,Outside,1982
-0.387549359836322,-0.05665976981328999,-0.018534504640357257,HR,Hare Rock,San Miguel Island,Outside,1983
-0.43268474268428625,-0.04754978107692435,0.008401771278494763,HR,Hare Rock,San Miguel Island,Outside,1984
-0.429124350192759,-0.0637231673992239,9.891507822348546e-4,HR,Hare Rock,San Miguel Island,Outside,1985
-0.4416981507033417,-0.06081905084368255,-0.0010845631370189927,HR,Hare Rock,San Miguel Island,Outside,1986
-0.4459137125242391,-0.06415007796219004,-0.009695685100041066,HR,Hare Rock,San Miguel Island,Outside,1987
-0.4235071717288361,-0.06737745970273794,-0.01846038211658872,HR,Hare Rock,San Miguel Island,Outside,1988
-0.4409466109522809,-0.06349110382287947,0.005966184711061054,HR,Hare Rock,San Miguel Island,Outside,1989
-0.38349321415169124,-0.07936237897469968,-0.06835834304937821,HR,Hare Rock,San Miguel Island,Outside,1990
-0.435632834873941,-0.06059925750632615,0.00327467982766493,HR,Hare Rock,San Miguel Island,Outside,1991
-0.43594540161589984,-0.06184512260737172,0.010031763298118794,HR,Hare Rock,San Miguel Island,Outside,1992
-0.43493736234370667,-0.06179605839132015,-0.00905533725315817,HR,Hare Rock,San Miguel Island,Outside,1993
-0.45420984467947373,-0.06359736028262625,7.024370978162874e-4,HR,Hare Rock,San Miguel Island,Outside,1994
-0.4535506458775141,-0.06533797103781945,-0.0019449791325622284,HR,Hare Rock,San Miguel Island,Outside,1995
-0.45726025249102725,-0.06556899630534634,-0.006411999802340755,HR,Hare Rock,San Miguel Island,Outside,1996
-0.44504953673937014,-0.06117260330599639,0.009424478960137825,HR,Hare Rock,San Miguel Island,Outside,1997
-0.4311564078807113,-0.05748962786704476,0.01386904262976009,HR,Hare Rock,San Miguel Island,Outside,1998
-0.443034252894165,-0.059230046197379045,0.008861346846934263,HR,Hare Rock,San Miguel Island,Outside,1999
-0.45622792994062933,-0.055304034215092626,0.01852205753136987,HR,Hare Rock,San Miguel Island,Outside,2000
-0.4388986569914166,-0.06605274569838268,-0.018361872878952055,HR,Hare Rock,San Miguel Island,Outside,2001
-0.42852655422319536,-0.07195692857682554,-0.01687546241982917,HR,Hare Rock,San Miguel Island,Outside,2002
0.09997963007548255,0.01821567212604987,-0.11950178090905912,HR,Hare Rock,San Miguel Island,Inside,2003
0.175617306962755,0.03298547301523698,-0.11542369412448553,HR,Hare Rock,San Miguel Island,Inside,2004
0.20513109973662855,0.05648208105549989,-0.12111139099394565,HR,Hare Rock,San Miguel Island,Inside,2005
0.2160224321606605,-0.025941065359769738,-0.1158657051902179,HR,Hare Rock,San Miguel Island,Inside,2006
0.2141573295147838,0.06100697917559223,-0.21389201435105137,HR,Hare Rock,San Miguel Island,Inside,2007
0.17986845590838357,0.012590008826759482,-0.09148128797009084,HR,Hare Rock,San Miguel Island,Inside,2008
0.21176270913911419,0.04405708854678677,-0.101110416164684,HR,Hare Rock,San Miguel Island,Inside,2009
0.1933405710773479,0.020135185577400246,-0.0519656171306622,HR,Hare Rock,San Miguel Island,Inside,2010
0.21565972751694815,0.058573885412278,-0.13126031207335637,HR,Hare Rock,San Miguel Island,Inside,2011
0.1547305698207047,-0.007699749367431001,-0.07563749374229835,HR,Hare Rock,San Miguel Island,Inside,2012
0.2150367986313849,0.008981526697848817,-0.10053482284329714,HR,Hare Rock,San Miguel Island,Inside,2013
0.20194698749820472,0.05878095052798509,-0.09415593982965993,HR,Hare Rock,San Miguel Island,Inside,2014
0.19911855169260467,0.020671324284393427,-0.013909415963581298,HR,Hare Rock,San Miguel Island,Inside,2015
0.18985552357182944,0.17095838277048342,0.05105780687888218,HR,Hare Rock,San Miguel Island,Inside,2016
0.16242816596543624,0.21349158517708083,0.07087549964473283,HR,Hare Rock,San Miguel Island,Inside,2017
0.17218012840325764,0.15010172081354137,0.031273069732064174,HR,Hare Rock,San Miguel Island,Inside,2018
0.16956882642649523,0.11258329983876286,0.026147113512096698,HR,Hare Rock,San Miguel Island,Inside,2019
-0.36390417646805706,-0.05111459370276057,-0.003237779798457983,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1982
-0.3597687547037692,-0.07710336564105552,-0.08468585298173582,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1983
-0.3532592441192992,0.020391542702608543,-0.015054148256445918,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1984
-0.17196247982270516,0.02040084847965045,0.04440237242529686,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1985
-0.294035294987128,0.03972239844372118,0.10837971410314891,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1986
-0.4146268618128996,0.030340346802330286,0.06867429905290577,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1987
-0.39269410414076455,-0.04778456124273534,-0.1005195869252183,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1988
-0.3529646493557742,-0.0460963354636449,-0.131647568038523,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1989
-0.3611934361786773,-0.06401361531950603,-0.15915260871658723,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1990
-0.2892729280354001,-0.05708504155144132,-0.20196011351777562,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1991
-0.32177944697622957,-0.06455480770725557,-0.17140088542473841,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1992
-0.2757550382261528,-0.09037904360942257,-0.17303617078530578,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1993
-0.25833046138145266,1.8025863005002633e-5,-0.14718933997723022,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1994
-0.30660997643080556,-0.05101842051873018,-0.22388476765193113,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1995
-0.2851792614512498,-0.0713356719883014,-0.23119269951465196,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1996
-0.23744533571915813,-0.06680481982487117,-0.2494441063820076,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1997
-0.2743080542938841,-0.019046440180069645,-0.11378370690061373,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1998
-0.3448323576037855,0.009081128730050698,-0.0612414930301684,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,1999
-0.241383605959556,-0.01716813400819791,-0.05299020488402751,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2000
-0.27471486506979853,-0.06502014748137114,-0.17546606355064867,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2001
-0.29237330699116243,-0.06180115824811944,-0.19575630904976932,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2002
0.15488841991282293,0.05443268901684303,-0.1816656329785967,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2003
0.20206789625256508,0.05240013369634347,-0.21560147421617096,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2004
0.20759281235802932,0.057703230129963756,-0.21443666829765684,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2005
0.21810753610885195,0.06929349778287636,-0.22234315452463044,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2006
0.22309679113181102,-0.013235857576458282,-0.15243035851567446,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2007
0.21869195612379813,0.022681890614377722,-0.21506438369707095,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2008
0.22705307539576544,0.01907577052783236,-0.1922227540885653,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2009
0.22656882610523685,0.0026674206131168904,-0.1684840844326745,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2010
0.2202491294959183,-0.019780629688531767,-0.1604778204259441,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2011
0.2127177218780482,0.025086059314498005,-0.1207940834453725,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2012
0.22192483013992959,-0.013732812134082993,-0.12972706705107215,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2013
0.2195594499880315,0.01066007756213297,-0.010597054185921443,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2014
0.2071046418604163,0.0938241484051956,-0.027515545106078062,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2015
0.13913010094093806,0.09208635142333489,0.04704670007111911,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2016
0.1878855416160417,0.22747763445723318,0.17802111463085793,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2017
0.1849540815983503,0.14844101736572884,0.13616240482997716,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2018
0.19698358116840747,0.17161946135037856,0.11340903458199723,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2019
-0.3582210269150828,-0.04621320412525584,-0.012610830423385198,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1982
-0.3080173472802773,0.020106949903425233,-0.11602817024039834,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1983
-0.3912929397539432,0.01206627358226077,-0.04051732970791938,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1984
-0.24863604305510043,0.03733219691975825,-0.06197457334451348,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1985
-0.20562362415611535,0.05814387674452377,0.039743162889006416,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1986
-0.41926007199948717,-0.030592357876861376,-0.07173479598940737,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1987
-0.3985282290869947,-0.07439124885759599,-0.0921667167112698,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1988
-0.3809495545884774,0.007884894607904347,-0.08285972412316829,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1989
-0.3464809053647921,-0.05773459840248927,-0.2066209434080507,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1990
-0.33746077754410697,-0.05317300779314871,-0.19716220781357177,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1991
-0.31500736278533137,-0.051829271297307376,-0.2236864957736049,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1992
-0.2904061352291922,-0.0432417518803029,-0.24194631027774077,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1993
-0.32042658722346407,-0.047579423273658536,-0.2390658858580231,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1994
-0.3137368953985642,-0.053466583460160706,-0.23600892980468657,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1995
-0.24667490375591583,-0.06455272823539221,-0.24720790644151305,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1996
-0.2768605375752521,-0.046440350489188535,-0.2263500403105191,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1997
-0.24715341343281244,-0.04330056195650326,-0.2374102803005688,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1998
-0.20890545636311386,-0.04207694680295674,-0.2652698825442279,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,1999
-0.27824844228679807,-0.002690873004883498,-0.16978418599657336,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,2000
