Dim 1,Dim 2,Dim 3,SiteCode,SiteName,IslandName,ReserveStatus,SurveyYear
-0.08783567322449917,-0.3866932498049964,-0.12556221171628412,WL,Wyckoff Ledge,San Miguel Island,Outside,2005
-0.08124538354905922,-0.4048557731356638,-0.1249801688675898,WL,Wyckoff Ledge,San Miguel Island,Outside,2006
-0.07120348509769461,-0.38772841252772966,-0.10082997335644793,WL,Wyckoff Ledge,San Miguel Island,Outside,2007
-0.06903051701691634,-0.3624598861566507,-0.11145043449806494,WL,Wyckoff Ledge,San Miguel Island,Outside,2008
-0.039173540377463865,-0.3880662568043519,-0.08784924911300142,WL,Wyckoff Ledge,San Miguel Island,Outside,2009
-0.03074227435312889,-0.3854738828968286,-0.10466377083218235,WL,Wyckoff Ledge,San Miguel Island,Outside,2010
-0.05624949042071736,-0.4102402019423312,-0.09446975274922918,WL,Wyckoff Ledge,San Miguel Island,Outside,2011
-0.045632607584898635,-0.351506978482738,-0.10465216578938352,WL,Wyckoff Ledge,San Miguel Island,Outside,2012
-0.07556408632748617,-0.389895504383667,-0.1141036370185081,WL,Wyckoff Ledge,San Miguel Island,Outside,2013
-0.10320653137454187,-0.3433674508827221,-0.13376075890919284,WL,Wyckoff Ledge,San Miguel Island,Outside,2014
-0.0858808084525459,-0.37331576827890584,-0.13679825517781655,WL,Wyckoff Ledge,San Miguel Island,Outside,2015
-0.09282171610937406,-0.3828320963374625,-0.13112646600051905,WL,Wyckoff Ledge,San Miguel Island,Outside,2016
-0.02195690893351154,-0.3274610689348922,-0.09119697709900643,WL,Wyckoff Ledge,San Miguel Island,Outside,2017
-0.06698034670459443,-0.26465591241445596,-0.09470165888703638,WL,Wyckoff Ledge,San Miguel Island,Outside,2018
-0.18161463115560575,-0.1635584989934646,-0.11335455528961835,WL,Wyckoff Ledge,San Miguel Island,Outside,2019
-0.03809095349036116,-0.12720291420306962,0.06648243188798632,HR,Hare Rock,San Miguel Island,Inside,2005
0.03227535742216859,-0.11619329850915854,0.10726379205558778,HR,Hare Rock,San Miguel Island,Inside,2006
-0.04199860899941505,-0.21383307813260868,0.007267547981893556,HR,Hare Rock,San Miguel Island,Inside,2007
-0.023559825894802697,-0.09495145478534206,0.12500513542770908,HR,Hare Rock,San Miguel Island,Inside,2008
-0.043176914969233496,-0.10505655969912968,0.09816071051368351,HR,Hare Rock,San Miguel Island,Inside,2009
-0.029638521030783835,-0.08703345530886239,0.10799777371841292,HR,Hare Rock,San Miguel Island,Inside,2010
-0.053344744719422875,-0.1385088030517702,0.06245887172630921,HR,Hare Rock,San Miguel Island,Inside,2011
-0.0020392521158792204,-0.09695533602842969,0.12562743731854653,HR,Hare Rock,San Miguel Island,Inside,2012
-0.012916232384492582,-0.09974866755375303,0.12197405942696196,HR,Hare Rock,San Miguel Island,Inside,2013
-0.04536400541984475,-0.10057587309030921,0.07062729817733324,HR,Hare Rock,San Miguel Island,Inside,2014
-0.0615977916664168,-0.018539862317187246,0.12224609019192274,HR,Hare Rock,San Miguel Island,Inside,2015
-0.1482597326494499,0.024904435150228298,0.06189546175768757,HR,Hare Rock,San Miguel Island,Inside,2016
-0.14494880400383447,0.012993878719250883,0.007029847816446033,HR,Hare Rock,San Miguel Island,Inside,2017
-0.13085549751360295,-0.026164178811381538,0.0010324531841014845,HR,Hare Rock,San Miguel Island,Inside,2018
-0.14344226709797409,0.0055259594865700755,-0.0020881462565332763,HR,Hare Rock,San Miguel Island,Inside,2019
0.05049312085022382,-0.16334651797442915,0.058817201033262184,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2005
0.022107643529092228,-0.17915132516772342,0.06910795459573017,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2006
0.10539202265967315,-0.12389151686179263,0.10551027722007603,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2007
0.02448368850568287,-0.18718794744208572,0.066977228017523,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2008
0.044404208499567686,-0.16273167019953197,0.06568014274553886,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2009
0.041983582196253005,-0.18053938082649396,0.1162307168989822,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2010
0.0647694517038934,-0.18644596411987735,0.09584957661659045,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2011
0.009486166413758951,-0.16247300747171034,0.09238432151642462,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2012
0.0883257359379699,-0.1631457455297323,0.07941174213170443,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2013
0.06850312701188684,-0.07486555036881506,0.04469410170548846,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2014
0.0038459830526664453,-0.04227409816645792,0.04330067232159436,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2015
-0.13292427299493595,0.03390933875216291,0.039558437963945293,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2016
-0.23244129659972013,0.15320045970388543,-0.028217194090945082,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2017
-0.16314793228156782,0.12543987491183461,0.041602144121320773,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2018
-0.17632061325761564,0.11987769392201386,0.009939714947831944,JLNO,Johnson's Lee North,Santa Rosa Island,Outside,2019
-0.08389142488868051,-0.31611000559464625,-0.06683653482577569,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,2005
-0.031883550924666215,-0.283012742847107,-0.010465591639714864,JLSO,Johnson's Lee South,Santa Rosa Island,Outside,2006
