station,lat,lon,DC.description
46025,33.749,-119.053,"Bouy 46025 (33.749N 119.053W) - Santa Monica Basin - 33NM WSW of Santa Monica, CA."
46053,34.252,-119.853,"Bouy 46053 (34.252N 119.853W) - EAST SANTA BARBARA  - 12NM Southwest of Santa Barbara, CA."
46054,34.265,-120.477,"Bouy 46054 (34.265N 120.477W) - WEST SANTA BARBARA  38 NM West of Santa Barbara, CA."
46069,33.674,-120.212,Bouy 46069 (33.674N 120.212W) - SOUTH SANTA ROSA IS. CA.
46218,34.454,-120.783,"Bouy 46218 (34.454N 120.783W) - Harvest, CA (071)."
46219,33.225,-119.882,"Bouy 46219 (33.225N 119.882W) - San Nicolas Island, CA (067)."
46251,33.76,-119.55,"Bouy 46251 (33.760N 119.550W) - Santa Cruz Basin, CA (203)."
46259,34.732,-121.664,"Bouy 46259 (34.732N 121.664W) - Santa Lucia Escarpment, CA (222)."
